acquirers,0,1,2,3,4
Chemical Financial Michigan,CHEMICAL FINANCIAL CORPORATION,ALLY FINANCIAL INC.,BAC FINANCIAL INC.,"CBOA FINANCIAL, INC.","C1 FINANCIAL, INC."
First Merchants Indiana,FIRST MERCHANTS CORPORATION,"FARMERS & MERCHANTS INVESTMENT, INC.",MERCHANTS BANCORP,"FARMERS & MERCHANTS BANCORP, INC.","FARMERS & MERCHANTS AGENCY, INC."
Plaza Bank California,"BANC OF CALIFORNIA, INC.",ISABELLA BANK CORPORATION,GREAT PLAINS BANK CORPORATION,LUANA BANCORPORATION,SOLVAY BANK CORP.
Cathay Gen Bancorp California,CATHAY GENERAL BANCORP,"BANC OF CALIFORNIA, INC.","VANTAGE BANCORP, INC.","COASTWAY BANCORP, INC","NORTHERN CALIFORNIA BANCORP, INC."
Unitedmmunity Banks Georgia,"COMMUNITY BANKS OF GEORGIA, INC.","UNITED COMMUNITY BANKS, INC.","COMMUNITY BANK OF GEORGIA, INC.",COMMUNITY BANK CORP.,"UNITED COMMUNITY BANCORP, INC."
Farmers National Banc Ohio,FARMERS NATIONAL BANC CORP.,"FARMERS NATIONAL BANCSHARES, INC.",FIRST NATIONAL BANCORP,"FIRST NATIONAL BANCORP, INC.",OLD NATIONAL BANCORP
Ameris Bancorp Georgia,AMERIS BANCORP,AMERIANA BANCORP,"LIBERTY BANCORP OF GEORGIA, INC.","AMERICAN BANCORP, INC.",BOR BANCORP
Sunshine Bancorp Florida,"SUNSET BANCORP, INC.",SIDNEY BANCORP,UNION BANCORPORATION,UNITED BANCORPORATION,"UNION BANCORP, INC."
Horizon Bancorp Indiana,HORIZON BANCORP,"HORIZON BANCORP, INC.","FIRST BANCORP OF INDIANA, INC.","ORION BANCORPORATION, INC.","HERRING BANCORP, INC."
Wintrust Financial Illinois,WINTRUST FINANCIAL CORPORATION,INTRUST FINANCIAL CORPORATION,"SV FINANCIAL, INC.",WOODTRUST FINANCIAL CORP,"TGR FINANCIAL, INC."
PacWest Bancorp California,PACWEST BANCORP,CALWEST BANCORP,"BANC OF CALIFORNIA, INC.",COAST BANCORP,"WEST BANCORPORATION, INC."
WSFS Financial Delaware,"WSB FINANCIAL, LTD",FSB FINANCIAL CORP,BNH FINANCIAL,WVS FINANCIAL CORP.,HF FINANCIAL CORP.
Howard Bancorp Maryland,"HOWARD BANCORP, INC.",HAZARD BANCORP,"QUEENSTOWN BANCORP OF MARYLAND, INC.",BOR BANCORP,ORCHARD BANCORP.
Western Alliance Bancorp Arizona,ALLIANCE BANCORP,WESTERN ALLIANCE BANCORPORATION,"WESTERN ARIZONA BANCORP, INC.",ALL WEST BANCORP,BNC BANCORP
Veritex Holdings Texas,"VERITEX HOLDINGS, INC.","PREMIER HOLDINGS, LTD","COMMUNITY BANK HOLDINGS OF TEXAS, INC.","TXRB HOLDINGS, INC.","BT HOLDINGS, INC."
