CONAME,address,lat,lon,distance
AAR CORP,"One AAR Place, 1100 North Wood Dale Road, Wood Dale, IL, 60191",41.986670000000004,-87.98122,988.8144770708566 km
AMERICAN AIRLINES GROUP INC,"4333 Amon Carter Boulevard, Fort Worth, TX, 76155",32.827890000000004,-97.05067,1923.8487440479182 km
PINNACLE WEST CAPITAL CORP,"400 North 5th Street, Phoenix, AZ, 85004",33.4525,-112.06796000000001,3188.522328638754 km
AARON'S INC,"309 East Paces Ferry Road, NE, Atlanta, GA, 30305",33.8387,-84.37764,864.8495235267302 km
ABBOTT LABORATORIES,"100 Abbott Park Road, Abbott Park, IL, 60064",42.3021,-87.89156,992.4158326556346 km
ACETO CORP,"4 Tri Harbor Court, Port Washington, NY, 11050",40.812540000000006,-73.66396,358.56683799221014 km
ADVANCED MICRO DEVICES,"One AMD Place, PO Box 3453, Sunnyvale, CA, 94088",37.38671,-121.99833999999998,3904.583186246198 km
AETNA INC,"151 Farmington Avenue, Hartford, CT, 6156",41.76688,-72.68831999999999,487.9124823585593 km
AIR PRODUCTS & CHEMICALS INC,"7201 Hamilton Boulevard, Allentown, PA, 18195",40.55093,-75.59676999999999,221.30133746275615 km
ALASKA AIR GROUP INC,"19300 International Boulevard, Seattle, WA, 98188",47.4422,-122.29593999999999,3743.763579012634 km
MATSON INC,"1411 Sand Island Parkway, Honolulu, HI, 96819",21.30714,-157.88008,7785.731132902355 km
ALLEGHANY CORP,"7 Times Square Tower, New York, NY, 10036",40.7577,-73.98297,333.254525857362 km
HONEYWELL INTERNATIONAL INC,"115 Tabor Road, Morris Plains, NJ, 7950",40.83934,-74.47695999999999,307.4069118638427 km
SKYWORKS SOLUTIONS INC,"20 Sylvan Road, Woburn, MA, 1801",42.49986,-71.1645,637.293618364304 km
ALCOA INC,"390 Park Avenue, New York, 10022",40.75936,-73.9727,334.0562968334564 km
HESS CORP,"1185 Avenue of the Americas, 40th Floor, New York, NY, 10036",40.75444,-73.98434,332.9431757382467 km
ABM INDUSTRIES INC,"551 Fifth Avenue, Suite 300, New York, NY, 10176",42.10605,-76.2484,362.51022430663636 km
PRIMERICA INC,"1 Primerica Parkway, Duluth, GA, 30099",33.98577,-84.09779,834.764929992808 km
US ECOLOGY INC,"251 East Front Street, Suite 400, Boise, ID, 83702",43.60845,-116.19568999999998,3292.1485277530464 km
AMERICAN ELECTRIC POWER CO,"1 Riverside Plaza, Columbus, OH, 43215",39.96488,-83.00532,527.0864646770249 km
AMERICAN EXPRESS CO,"200 Vesey Street, New York, NY, 10281",40.71393,-74.01465,328.1874899942901 km
AFLAC INC,"1932 Wynnton Road, Columbus, GA, 31999",32.46733,-84.96387,1010.9716516571959 km
AMERICAN INTERNATIONAL GROUP,"175 Water Street, New York, NY, 10038",40.70635,-74.00511999999999,328.3275267800524 km
AMERICAN SCIENCE ENGINEERING,"829 Middlesex Turnpike, Billerica, MA, 1821",42.52455,-71.25492,633.0378433419021 km
AMERICAN VANGUARD CORP,"4695 Macarthur Court, Newport Beach, CA, 92660",33.6704,-117.86216,3682.1191399294134 km
AMETEK INC,"1100 Cassatt Road, Berwyn, PA, 19312",40.06171,-75.46346,187.26667342827014 km
AMGEN INC,"One Amgen Center Drive, Thousand Oaks, CA, 91320",34.191109999999995,-118.92257,3753.376744000883 km
ANALOG DEVICES,"One Technology Way, PO Box 9106, Norwood, MA, 02062",42.21113,-71.18134,617.4162828901794 km
ANALOGIC CORP,"8 Centennial Drive, Peabody, MA, 1960",42.52415,-70.96118,652.3308892012132 km
ANDERSONS INC,"480 West Dussel Drive, PO Box 119, Maumee, OH, 43537",41.57936,-83.67941,638.4896201387007 km
NABORS INDUSTRIES LTD,"Crown House, Second Floor, 4 Par-la-Ville Road, Hamilton, HM 08",,,
APACHE CORP,"One Post Oak Central, Suite 100, 2000 Post Oak Boulevard, Houston, TX, 77056",29.744629999999997,-95.46271,1970.6733454009063 km
APOGEE ENTERPRISES INC,"4400 West 78th Street, Suite 520, Minneapolis, MN, 55435",44.85998,-93.33534,1502.4385483767637 km
APPLE INC,"1 Infinite Loop, Cupertino, CA, 95014",37.3317,-122.03018999999999,3909.039444050401 km
APPLIED MATERIALS INC,"3050 Bowers Avenue, PO Box 58039, Santa Clara, CA, 95052",37.37745,-121.97871,3903.212101436143 km
ACTUANT CORP  -CL A,"N86 W12500 Westbrook Crossing, Menomonee Falls, WI, 53051",43.17433,-88.06761,1040.7732021613272 km
ARCHER-DANIELS-MIDLAND CO,"77 West Wacker Drive, Suite 4600, Chicago, IL, 60601",41.88663,-87.63044000000001,957.7567030870546 km
ARCBEST CORP,"3801 Old Greenwood Road, Fort Smith, AR, 72917",35.34626,-94.39139,1588.9462046412307 km
ARROW ELECTRONICS INC,"9201 East Dry Creek Road, Centennial, CO, 80112",39.581520000000005,-104.88281,2395.4480372312287 km
ASHLAND INC,"50 East RiverCenter Boulevard, PO Box 391, Covington, KY, 41012",39.09033,-84.5106,647.487492896693 km
